,City,Country,Long,Lat,date,type,value
35," Norfolk County, MA",US,-71.1449,42.1767,2020-01-30,currently ill,0
36," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,confirmed,0
37," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,died,0
38," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,recovered,0
39," Norfolk County, MA",US,-71.1449,42.1767,2020-01-31,currently ill,0
40," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,confirmed,0
41," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,died,0
42," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,recovered,0
43," Norfolk County, MA",US,-71.1449,42.1767,2020-02-01,currently ill,0
44," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,confirmed,0
45," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,died,0
46," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,recovered,0
47," Norfolk County, MA",US,-71.1449,42.1767,2020-02-02,currently ill,0
48," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,confirmed,0
49," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,died,0
50," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,recovered,0
51," Norfolk County, MA",US,-71.1449,42.1767,2020-02-03,currently ill,0
52," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,confirmed,0
53," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,died,0
54," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,recovered,0
55," Norfolk County, MA",US,-71.1449,42.1767,2020-02-04,currently ill,0
56," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,confirmed,0
57," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,died,0
58," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,recovered,0
59," Norfolk County, MA",US,-71.1449,42.1767,2020-02-05,currently ill,0
60," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,confirmed,0
61," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,died,0
62," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,recovered,0
63," Norfolk County, MA",US,-71.1449,42.1767,2020-02-06,currently ill,0
64," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,confirmed,0
65," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,died,0
66," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,recovered,0
67," Norfolk County, MA",US,-71.1449,42.1767,2020-02-07,currently ill,0
68," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,confirmed,0
69," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,died,0
70," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,recovered,0
71," Norfolk County, MA",US,-71.1449,42.1767,2020-02-08,currently ill,0
72," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,confirmed,0
73," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,died,0
74," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,recovered,0
75," Norfolk County, MA",US,-71.1449,42.1767,2020-02-09,currently ill,0
76," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,confirmed,0
77," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,died,0
78," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,recovered,0
79," Norfolk County, MA",US,-71.1449,42.1767,2020-02-10,currently ill,0
80," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,confirmed,0
81," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,died,0
82," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,recovered,0
83," Norfolk County, MA",US,-71.1449,42.1767,2020-02-11,currently ill,0
84," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,confirmed,0
85," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,died,0
86," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,recovered,0
87," Norfolk County, MA",US,-71.1449,42.1767,2020-02-12,currently ill,0
88," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,confirmed,0
89," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,died,0
90," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,recovered,0
91," Norfolk County, MA",US,-71.1449,42.1767,2020-02-13,currently ill,0
92," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,confirmed,0
93," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,died,0
94," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,recovered,0
95," Norfolk County, MA",US,-71.1449,42.1767,2020-02-14,currently ill,0
96," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,confirmed,0
97," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,died,0
98," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,recovered,0
99," Norfolk County, MA",US,-71.1449,42.1767,2020-02-15,currently ill,0
100," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,confirmed,0
101," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,died,0
102," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,recovered,0
103," Norfolk County, MA",US,-71.1449,42.1767,2020-02-16,currently ill,0
104," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,confirmed,0
105," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,died,0
106," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,recovered,0
107," Norfolk County, MA",US,-71.1449,42.1767,2020-02-17,currently ill,0
108," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,confirmed,0
109," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,died,0
110," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,recovered,0
111," Norfolk County, MA",US,-71.1449,42.1767,2020-02-18,currently ill,0
112," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,confirmed,0
113," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,died,0
114," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,recovered,0
115," Norfolk County, MA",US,-71.1449,42.1767,2020-02-19,currently ill,0
116," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,confirmed,0
117," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,died,0
118," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,recovered,0
119," Norfolk County, MA",US,-71.1449,42.1767,2020-02-20,currently ill,0
120," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,confirmed,0
121," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,died,0
122," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,recovered,0
123," Norfolk County, MA",US,-71.1449,42.1767,2020-02-21,currently ill,0
124," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,confirmed,0
125," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,died,0
126," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,recovered,0
127," Norfolk County, MA",US,-71.1449,42.1767,2020-02-22,currently ill,0
128," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,confirmed,0
129," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,died,0
130," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,recovered,0
131," Norfolk County, MA",US,-71.1449,42.1767,2020-02-23,currently ill,0
132," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,confirmed,0
133," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,died,0
134," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,recovered,0
135," Norfolk County, MA",US,-71.1449,42.1767,2020-02-24,currently ill,0
136," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,confirmed,0
137," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,died,0
138," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,recovered,0
139," Norfolk County, MA",US,-71.1449,42.1767,2020-02-25,currently ill,0
140," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,confirmed,0
141," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,died,0
142," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,recovered,0
143," Norfolk County, MA",US,-71.1449,42.1767,2020-02-26,currently ill,0
144," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,confirmed,0
145," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,died,0
146," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,recovered,0
147," Norfolk County, MA",US,-71.1449,42.1767,2020-02-27,currently ill,0
148," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,confirmed,0
149," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,died,0
150," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,recovered,0
151," Norfolk County, MA",US,-71.1449,42.1767,2020-02-28,currently ill,0
152," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,confirmed,0
153," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,died,0
154," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,recovered,0
155," Norfolk County, MA",US,-71.1449,42.1767,2020-02-29,currently ill,0
156," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,confirmed,0
157," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,died,0
158," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,recovered,0
159," Norfolk County, MA",US,-71.1449,42.1767,2020-03-01,currently ill,0
160," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,confirmed,0
161," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,died,0
162," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,recovered,0
163," Norfolk County, MA",US,-71.1449,42.1767,2020-03-02,currently ill,0
164," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,confirmed,1
165," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,died,0
166," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,recovered,0
167," Norfolk County, MA",US,-71.1449,42.1767,2020-03-03,currently ill,1
168," Norfolk County, MA",US,-71.1449,42.1767,2020-03-04,confirmed,1
169," Norfolk County, MA",US,-71.1449,42.1767,2020-03-04,died,0
170," Norfolk County, MA",US,-71.1449,42.1767,2020-03-04,recovered,0
171," Norfolk County, MA",US,-71.1449,42.1767,2020-03-04,currently ill,1
172," Norfolk County, MA",US,-71.1449,42.1767,2020-03-05,confirmed,1
173," Norfolk County, MA",US,-71.1449,42.1767,2020-03-05,died,0
174," Norfolk County, MA",US,-71.1449,42.1767,2020-03-05,recovered,0
175," Norfolk County, MA",US,-71.1449,42.1767,2020-03-05,currently ill,1
176," Norfolk County, MA",US,-71.1449,42.1767,2020-03-06,confirmed,2
177," Norfolk County, MA",US,-71.1449,42.1767,2020-03-06,died,0
178," Norfolk County, MA",US,-71.1449,42.1767,2020-03-06,recovered,0
179," Norfolk County, MA",US,-71.1449,42.1767,2020-03-06,currently ill,2
180," Norfolk County, MA",US,-71.1449,42.1767,2020-03-07,confirmed,2
181," Norfolk County, MA",US,-71.1449,42.1767,2020-03-07,died,0
182," Norfolk County, MA",US,-71.1449,42.1767,2020-03-07,recovered,0
183," Norfolk County, MA",US,-71.1449,42.1767,2020-03-07,currently ill,2
184," Norfolk County, MA",US,-71.1449,42.1767,2020-03-08,confirmed,6
185," Norfolk County, MA",US,-71.1449,42.1767,2020-03-08,died,0
186," Norfolk County, MA",US,-71.1449,42.1767,2020-03-08,recovered,0
187," Norfolk County, MA",US,-71.1449,42.1767,2020-03-08,currently ill,6
188," Norfolk County, MA",US,-71.1449,42.1767,2020-03-09,confirmed,6
189," Norfolk County, MA",US,-71.1449,42.1767,2020-03-09,died,0
190," Norfolk County, MA",US,-71.1449,42.1767,2020-03-09,recovered,0
191," Norfolk County, MA",US,-71.1449,42.1767,2020-03-09,currently ill,6
192,"Alameda County, CA",US,-121.7195,37.6017,2020-01-22,confirmed,0
193,"Alameda County, CA",US,-121.7195,37.6017,2020-01-22,died,0
194,"Alameda County, CA",US,-121.7195,37.6017,2020-01-22,recovered,0
195,"Alameda County, CA",US,-121.7195,37.6017,2020-01-22,currently ill,0
196,"Alameda County, CA",US,-121.7195,37.6017,2020-01-23,confirmed,0
197,"Alameda County, CA",US,-121.7195,37.6017,2020-01-23,died,0
198,"Alameda County, CA",US,-121.7195,37.6017,2020-01-23,recovered,0
199,"Alameda County, CA",US,-121.7195,37.6017,2020-01-23,currently ill,0
200,"Alameda County, CA",US,-121.7195,37.6017,2020-01-24,confirmed,0
201,"Alameda County, CA",US,-121.7195,37.6017,2020-01-24,died,0
202,"Alameda County, CA",US,-121.7195,37.6017,2020-01-24,recovered,0
203,"Alameda County, CA",US,-121.7195,37.6017,2020-01-24,currently ill,0
204,"Alameda County, CA",US,-121.7195,37.6017,2020-01-25,confirmed,0
205,"Alameda County, CA",US,-121.7195,37.6017,2020-01-25,died,0
206,"Alameda County, CA",US,-121.7195,37.6017,2020-01-25,recovered,0
207,"Alameda County, CA",US,-121.7195,37.6017,2020-01-25,currently ill,0
208,"Alameda County, CA",US,-121.7195,37.6017,2020-01-26,confirmed,0
209,"Alameda County, CA",US,-121.7195,37.6017,2020-01-26,died,0
210,"Alameda County, CA",US,-121.7195,37.6017,2020-01-26,recovered,0
211,"Alameda County, CA",US,-121.7195,37.6017,2020-01-26,currently ill,0
212,"Alameda County, CA",US,-121.7195,37.6017,2020-01-27,confirmed,0
213,"Alameda County, CA",US,-121.7195,37.6017,2020-01-27,died,0
214,"Alameda County, CA",US,-121.7195,37.6017,2020-01-27,recovered,0
215,"Alameda County, CA",US,-121.7195,37.6017,2020-01-27,currently ill,0
216,"Alameda County, CA",US,-121.7195,37.6017,2020-01-28,confirmed,0
217,"Alameda County, CA",US,-121.7195,37.6017,2020-01-28,died,0
218,"Alameda County, CA",US,-121.7195,37.6017,2020-01-28,recovered,0
219,"Alameda County, CA",US,-121.7195,37.6017,2020-01-28,currently ill,0
220,"Alameda County, CA",US,-121.7195,37.6017,2020-01-29,confirmed,0
221,"Alameda County, CA",US,-121.7195,37.6017,2020-01-29,died,0
222,"Alameda County, CA",US,-121.7195,37.6017,2020-01-29,recovered,0
223,"Alameda County, CA",US,-121.7195,37.6017,2020-01-29,currently ill,0
224,"Alameda County, CA",US,-121.7195,37.6017,2020-01-30,confirmed,0
225,"Alameda County, CA",US,-121.7195,37.6017,2020-01-30,died,0
226,"Alameda County, CA",US,-121.7195,37.6017,2020-01-30,recovered,0
227,"Alameda County, CA",US,-121.7195,37.6017,2020-01-30,currently ill,0
228,"Alameda County, CA",US,-121.7195,37.6017,2020-01-31,confirmed,0
229,"Alameda County, CA",US,-121.7195,37.6017,2020-01-31,died,0
230,"Alameda County, CA",US,-121.7195,37.6017,2020-01-31,recovered,0
231,"Alameda County, CA",US,-121.7195,37.6017,2020-01-31,currently ill,0
232,"Alameda County, CA",US,-121.7195,37.6017,2020-02-01,confirmed,0
233,"Alameda County, CA",US,-121.7195,37.6017,2020-02-01,died,0
234,"Alameda County, CA",US,-121.7195,37.6017,2020-02-01,recovered,0
235,"Alameda County, CA",US,-121.7195,37.6017,2020-02-01,currently ill,0
236,"Alameda County, CA",US,-121.7195,37.6017,2020-02-02,confirmed,0
237,"Alameda County, CA",US,-121.7195,37.6017,2020-02-02,died,0
238,"Alameda County, CA",US,-121.7195,37.6017,2020-02-02,recovered,0
239,"Alameda County, CA",US,-121.7195,37.6017,2020-02-02,currently ill,0
240,"Alameda County, CA",US,-121.7195,37.6017,2020-02-03,confirmed,0
241,"Alameda County, CA",US,-121.7195,37.6017,2020-02-03,died,0
242,"Alameda County, CA",US,-121.7195,37.6017,2020-02-03,recovered,0
243,"Alameda County, CA",US,-121.7195,37.6017,2020-02-03,currently ill,0
244,"Alameda County, CA",US,-121.7195,37.6017,2020-02-04,confirmed,0
245,"Alameda County, CA",US,-121.7195,37.6017,2020-02-04,died,0
246,"Alameda County, CA",US,-121.7195,37.6017,2020-02-04,recovered,0
247,"Alameda County, CA",US,-121.7195,37.6017,2020-02-04,currently ill,0
248,"Alameda County, CA",US,-121.7195,37.6017,2020-02-05,confirmed,0
249,"Alameda County, CA",US,-121.7195,37.6017,2020-02-05,died,0
250,"Alameda County, CA",US,-121.7195,37.6017,2020-02-05,recovered,0
251,"Alameda County, CA",US,-121.7195,37.6017,2020-02-05,currently ill,0
252,"Alameda County, CA",US,-121.7195,37.6017,2020-02-06,confirmed,0
253,"Alameda County, CA",US,-121.7195,37.6017,2020-02-06,died,0
254,"Alameda County, CA",US,-121.7195,37.6017,2020-02-06,recovered,0
255,"Alameda County, CA",US,-121.7195,37.6017,2020-02-06,currently ill,0
256,"Alameda County, CA",US,-121.7195,37.6017,2020-02-07,confirmed,0
257,"Alameda County, CA",US,-121.7195,37.6017,2020-02-07,died,0
258,"Alameda County, CA",US,-121.7195,37.6017,2020-02-07,recovered,0
259,"Alameda County, CA",US,-121.7195,37.6017,2020-02-07,currently ill,0
260,"Alameda County, CA",US,-121.7195,37.6017,2020-02-08,confirmed,0
261,"Alameda County, CA",US,-121.7195,37.6017,2020-02-08,died,0
262,"Alameda County, CA",US,-121.7195,37.6017,2020-02-08,recovered,0
263,"Alameda County, CA",US,-121.7195,37.6017,2020-02-08,currently ill,0
264,"Alameda County, CA",US,-121.7195,37.6017,2020-02-09,confirmed,0
265,"Alameda County, CA",US,-121.7195,37.6017,2020-02-09,died,0
266,"Alameda County, CA",US,-121.7195,37.6017,2020-02-09,recovered,0
267,"Alameda County, CA",US,-121.7195,37.6017,2020-02-09,currently ill,0
268,"Alameda County, CA",US,-121.7195,37.6017,2020-02-10,confirmed,0
269,"Alameda County, CA",US,-121.7195,37.6017,2020-02-10,died,0
270,"Alameda County, CA",US,-121.7195,37.6017,2020-02-10,recovered,0
271,"Alameda County, CA",US,-121.7195,37.6017,2020-02-10,currently ill,0
272,"Alameda County, CA",US,-121.7195,37.6017,2020-02-11,confirmed,0
273,"Alameda County, CA",US,-121.7195,37.6017,2020-02-11,died,0
274,"Alameda County, CA",US,-121.7195,37.6017,2020-02-11,recovered,0
275,"Alameda County, CA",US,-121.7195,37.6017,2020-02-11,currently ill,0
276,"Alameda County, CA",US,-121.7195,37.6017,2020-02-12,confirmed,0
277,"Alameda County, CA",US,-121.7195,37.6017,2020-02-12,died,0
278,"Alameda County, CA",US,-121.7195,37.6017,2020-02-12,recovered,0
279,"Alameda County, CA",US,-121.7195,37.6017,2020-02-12,currently ill,0
280,"Alameda County, CA",US,-121.7195,37.6017,2020-02-13,confirmed,0
281,"Alameda County, CA",US,-121.7195,37.6017,2020-02-13,died,0
282,"Alameda County, CA",US,-121.7195,37.6017,2020-02-13,recovered,0
283,"Alameda County, CA",US,-121.7195,37.6017,2020-02-13,currently ill,0
284,"Alameda County, CA",US,-121.7195,37.6017,2020-02-14,confirmed,0
285,"Alameda County, CA",US,-121.7195,37.6017,2020-02-14,died,0
286,"Alameda County, CA",US,-121.7195,37.6017,2020-02-14,recovered,0
287,"Alameda County, CA",US,-121.7195,37.6017,2020-02-14,currently ill,0
288,"Alameda County, CA",US,-121.7195,37.6017,2020-02-15,confirmed,0
289,"Alameda County, CA",US,-121.7195,37.6017,2020-02-15,died,0
290,"Alameda County, CA",US,-121.7195,37.6017,2020-02-15,recovered,0
291,"Alameda County, CA",US,-121.7195,37.6017,2020-02-15,currently ill,0
292,"Alameda County, CA",US,-121.7195,37.6017,2020-02-16,confirmed,0
293,"Alameda County, CA",US,-121.7195,37.6017,2020-02-16,died,0
294,"Alameda County, CA",US,-121.7195,37.6017,2020-02-16,recovered,0
295,"Alameda County, CA",US,-121.7195,37.6017,2020-02-16,currently ill,0
296,"Alameda County, CA",US,-121.7195,37.6017,2020-02-17,confirmed,0
297,"Alameda County, CA",US,-121.7195,37.6017,2020-02-17,died,0
298,"Alameda County, CA",US,-121.7195,37.6017,2020-02-17,recovered,0
299,"Alameda County, CA",US,-121.7195,37.6017,2020-02-17,currently ill,0
300,"Alameda County, CA",US,-121.7195,37.6017,2020-02-18,confirmed,0
301,"Alameda County, CA",US,-121.7195,37.6017,2020-02-18,died,0
302,"Alameda County, CA",US,-121.7195,37.6017,2020-02-18,recovered,0
303,"Alameda County, CA",US,-121.7195,37.6017,2020-02-18,currently ill,0
304,"Alameda County, CA",US,-121.7195,37.6017,2020-02-19,confirmed,0
305,"Alameda County, CA",US,-121.7195,37.6017,2020-02-19,died,0
306,"Alameda County, CA",US,-121.7195,37.6017,2020-02-19,recovered,0
307,"Alameda County, CA",US,-121.7195,37.6017,2020-02-19,currently ill,0
308,"Alameda County, CA",US,-121.7195,37.6017,2020-02-20,confirmed,0
309,"Alameda County, CA",US,-121.7195,37.6017,2020-02-20,died,0
310,"Alameda County, CA",US,-121.7195,37.6017,2020-02-20,recovered,0
311,"Alameda County, CA",US,-121.7195,37.6017,2020-02-20,currently ill,0
312,"Alameda County, CA",US,-121.7195,37.6017,2020-02-21,confirmed,0
313,"Alameda County, CA",US,-121.7195,37.6017,2020-02-21,died,0
314,"Alameda County, CA",US,-121.7195,37.6017,2020-02-21,recovered,0
315,"Alameda County, CA",US,-121.7195,37.6017,2020-02-21,currently ill,0
316,"Alameda County, CA",US,-121.7195,37.6017,2020-02-22,confirmed,0
317,"Alameda County, CA",US,-121.7195,37.6017,2020-02-22,died,0
318,"Alameda County, CA",US,-121.7195,37.6017,2020-02-22,recovered,0
319,"Alameda County, CA",US,-121.7195,37.6017,2020-02-22,currently ill,0
320,"Alameda County, CA",US,-121.7195,37.6017,2020-02-23,confirmed,0
321,"Alameda County, CA",US,-121.7195,37.6017,2020-02-23,died,0
322,"Alameda County, CA",US,-121.7195,37.6017,2020-02-23,recovered,0
323,"Alameda County, CA",US,-121.7195,37.6017,2020-02-23,currently ill,0
324,"Alameda County, CA",US,-121.7195,37.6017,2020-02-24,confirmed,0
325,"Alameda County, CA",US,-121.7195,37.6017,2020-02-24,died,0
326,"Alameda County, CA",US,-121.7195,37.6017,2020-02-24,recovered,0
327,"Alameda County, CA",US,-121.7195,37.6017,2020-02-24,currently ill,0
328,"Alameda County, CA",US,-121.7195,37.6017,2020-02-25,confirmed,0
329,"Alameda County, CA",US,-121.7195,37.6017,2020-02-25,died,0
330,"Alameda County, CA",US,-121.7195,37.6017,2020-02-25,recovered,0
331,"Alameda County, CA",US,-121.7195,37.6017,2020-02-25,currently ill,0
332,"Alameda County, CA",US,-121.7195,37.6017,2020-02-26,confirmed,0
333,"Alameda County, CA",US,-121.7195,37.6017,2020-02-26,died,0
334,"Alameda County, CA",US,-121.7195,37.6017,2020-02-26,recovered,0
335,"Alameda County, CA",US,-121.7195,37.6017,2020-02-26,currently ill,0
336,"Alameda County, CA",US,-121.7195,37.6017,2020-02-27,confirmed,0
337,"Alameda County, CA",US,-121.7195,37.6017,2020-02-27,died,0
338,"Alameda County, CA",US,-121.7195,37.6017,2020-02-27,recovered,0
339,"Alameda County, CA",US,-121.7195,37.6017,2020-02-27,currently ill,0
340,"Alameda County, CA",US,-121.7195,37.6017,2020-02-28,confirmed,0
341,"Alameda County, CA",US,-121.7195,37.6017,2020-02-28,died,0
342,"Alameda County, CA",US,-121.7195,37.6017,2020-02-28,recovered,0
343,"Alameda County, CA",US,-121.7195,37.6017,2020-02-28,currently ill,0
344,"Alameda County, CA",US,-121.7195,37.6017,2020-02-29,confirmed,0
345,"Alameda County, CA",US,-121.7195,37.6017,2020-02-29,died,0
346,"Alameda County, CA",US,-121.7195,37.6017,2020-02-29,recovered,0
347,"Alameda County, CA",US,-121.7195,37.6017,2020-02-29,currently ill,0
348,"Alameda County, CA",US,-121.7195,37.6017,2020-03-01,confirmed,0
349,"Alameda County, CA",US,-121.7195,37.6017,2020-03-01,died,0
350,"Alameda County, CA",US,-121.7195,37.6017,2020-03-01,recovered,0
351,"Alameda County, CA",US,-121.7195,37.6017,2020-03-01,currently ill,0
352,"Alameda County, CA",US,-121.7195,37.6017,2020-03-02,confirmed,0
353,"Alameda County, CA",US,-121.7195,37.6017,2020-03-02,died,0
354,"Alameda County, CA",US,-121.7195,37.6017,2020-03-02,recovered,0
355,"Alameda County, CA",US,-121.7195,37.6017,2020-03-02,currently ill,0
356,"Alameda County, CA",US,-121.7195,37.6017,2020-03-03,confirmed,1
357,"Alameda County, CA",US,-121.7195,37.6017,2020-03-03,died,0
358,"Alameda County, CA",US,-121.7195,37.6017,2020-03-03,recovered,0
359,"Alameda County, CA",US,-121.7195,37.6017,2020-03-03,currently ill,1
360,"Alameda County, CA",US,-121.7195,37.6017,2020-03-04,confirmed,1
361,"Alameda County, CA",US,-121.7195,37.6017,2020-03-04,died,0
362,"Alameda County, CA",US,-121.7195,37.6017,2020-03-04,recovered,0
363,"Alameda County, CA",US,-121.7195,37.6017,2020-03-04,currently ill,1
364,"Alameda County, CA",US,-121.7195,37.6017,2020-03-05,confirmed,1
365,"Alameda County, CA",US,-121.7195,37.6017,2020-03-05,died,0
366,"Alameda County, CA",US,-121.7195,37.6017,2020-03-05,recovered,0
